,price,powerStatusD,furnishedD,bathD,transactionTypeD,propTypeD,bedroomD,waterStatus,isPrimeLocProp,floorNo,floors,amenitiesCount,floorRatio
985,31000000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,1,Water Availability 24 Hours Available,N,2.0,8.0,6.0,0.25
986,29000000,No/Rare Powercut,Semi-Furnished,1,Resale,Apartment,1,Water Availability 24 Hours Available,Y,1.0,2.0,14.444773175542407,0.5
987,19000000,No/Rare Powercut,Furnished,3,Resale,Apartment,3,Water Availability 24 Hours Available,N,2.0,10.0,7.0,0.2
988,55000000,No/Rare Powercut,Unfurnished,3,New Property,Apartment,4,Water Availability 24 Hours Available,Y,9.40818363273453,19.1626746506986,6.0,0.49096401229102654
989,105000000,No/Rare Powercut,Semi-Furnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,9.40818363273453,19.1626746506986,11.0,0.49096401229102654
990,35000000,No/Rare Powercut,Unfurnished,1,Resale,Apartment,1,Water Availability 24 Hours Available,N,5.0,7.0,8.0,0.7142857142857143
991,3650000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,1,Water Availability 24 Hours Available,Y,14.0,22.0,17.0,0.6363636363636364
992,18900000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,16.0,20.0,19.0,0.8
993,25600000,No/Rare Powercut,Semi-Furnished,2,New Property,Apartment,2,Water Availability 24 Hours Available,Y,8.0,30.0,27.0,0.26666666666666666
994,18700000,No/Rare Powercut,Unfurnished,2,New Property,Apartment,1,Water Availability 24 Hours Available,Y,11.0,26.0,13.0,0.4230769230769231
995,7500000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,10.0,16.0,17.0,0.625
996,58500000,No/Rare Powercut,Unfurnished,2,Resale,Apartment,2,Water Availability 24 Hours Available,Y,1.0,7.0,18.0,0.14285714285714285
997,22900000,No/Rare Powercut,Furnished,3,Resale,Apartment,4,Water Availability 24 Hours Available,Y,3.0,3.0,9.0,1.0
998,25900000,No/Rare Powercut,Unfurnished,3,New Property,Apartment,3,Water Availability 24 Hours Available,Y,16.0,20.0,16.0,0.8
