,price,bathD,bedroomD,landAreaUnitD,floorNo,floors,2 To 4 Hours Powercut,Less Than 2 Hour Powercut,No/Rare Powercut,Furnished,Semi-Furnished,Unfurnished,Apartment,Builder Floor Apartment,Penthouse,Residential House,Villa,New Property,Other,Rent,Resale,Water Availability 1 Hour Available,Water Availability 12 Hours Available,Water Availability 2 Hours Available,Water Availability 24 Hours Available,Water Availability 6 Hours Available,N,Y,amenitiesCount,floorRatio
651,9800000,3,2,sqft,1.0,7.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,14.0,0.14285714285714285
652,18500000,2,1,sqft,9.414171656686626,19.1626746506986,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2.0,0.4912764960158325
653,115000000,2,2,sqft,27.0,36.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,18.0,0.75
654,630000000,2,2,sqft,5.0,11.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,6.0,0.45454545454545453
655,18500000,2,2,sqft,3.0,40.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,8.0,0.075
656,15500000,3,1,sqft,2.0,2.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,8.0,1.0
657,40000000,2,2,sqft,10.0,15.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,7.0,0.6666666666666666
658,62000000,1,1,sqft,4.0,7.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,14.444773175542407,0.5714285714285714
659,108000000,1,1,sqft,7.0,7.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5.0,1.0
660,6500000,1,1,sqft,0.0,7.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,14.444773175542407,0.0
661,14000000,2,2,sqft,19.0,22.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,18.0,0.8636363636363636
662,12500000,2,1,sqft,0.0,4.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,3.0,0.0
663,28000000,3,2,sqft,7.0,16.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7.0,0.4375
664,13500000,2,1,sqft,3.0,11.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,14.444773175542407,0.2727272727272727
665,7800000,2,1,sqft,6.0,7.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2.0,0.8571428571428571
666,8400000,2,1,sqft,7.0,23.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,19.0,0.30434782608695654
667,8500000,2,3,sqft,8.0,20.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,12.0,0.4
668,15000000,2,2,sqft,6.0,8.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,12.0,0.75
669,15200000,4,3,sqft,4.0,5.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,15.0,0.8
670,7000000,2,2,sqft,10.0,15.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,16.0,0.6666666666666666
671,8100000,2,2,sqft,9.414171656686626,19.1626746506986,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,14.444773175542407,0.4912764960158325
672,14500000,1,1,sqft,0.0,8.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7.0,0.0
673,1800000,1,1,sqft,20.0,24.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2.0,0.8333333333333334
